Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
42.00,0.00,268.88,6.75,-106.31,1.81,0.38,0.81,0.05,1.00
42.00,1.00,277.88,-5.38,-65.44,0.38,-0.25,-0.25,0.05,1.02
42.00,2.00,264.69,-28.62,20.00,0.56,-0.25,0.25,0.05,1.02
42.00,0.00,268.88,6.75,-106.31,1.94,0.44,0.75,0.12,1.02
42.00,1.00,277.88,-5.38,-65.44,0.19,-0.19,-0.06,0.12,1.02
42.00,2.00,264.69,-28.62,20.00,0.06,0.06,0.56,0.12,1.04
42.00,0.00,268.88,6.75,-106.38,2.06,0.50,0.75,0.21,1.04
42.00,1.00,277.88,-5.38,-65.44,0.06,-0.38,0.00,0.21,1.04
42.00,2.00,264.69,-28.62,20.00,-0.19,-0.25,0.44,0.21,1.04
42.00,0.00,268.81,6.81,-106.44,2.50,0.62,0.88,0.32,1.06
42.00,1.00,277.88,-5.38,-65.44,0.31,-0.19,0.00,0.32,1.06
42.00,2.00,264.69,-28.62,20.00,-0.12,0.31,0.69,0.32,1.06
42.00,0.00,268.81,6.81,-106.50,3.62,0.31,1.12,0.49,1.08
42.00,1.00,277.88,-5.38,-65.44,0.38,-0.12,0.31,0.49,1.08
42.00,2.00,264.69,-28.69,20.00,-0.62,0.62,0.81,0.49,1.08
42.00,0.00,268.75,6.81,-106.62,4.06,-0.12,1.25,0.70,1.10
42.00,1.00,277.88,-5.38,-65.44,0.06,-0.12,0.56,0.70,1.10
42.00,2.00,264.69,-28.69,20.00,-1.12,1.06,0.88,0.70,1.10
42.00,0.00,268.69,6.88,-106.75,6.19,0.00,2.38,1.01,1.12
42.00,1.00,277.88,-5.38,-65.44,0.31,-0.38,0.19,1.01,1.12
42.00,2.00,264.62,-28.75,20.06,-1.62,1.94,0.94,1.01,1.12
42.00,0.00,268.56,6.94,-106.94,8.25,0.38,3.00,1.37,1.14
42.00,1.00,277.88,-5.38,-65.44,0.81,-0.62,-0.06,1.37,1.14
42.00,2.00,264.62,-28.75,20.06,-0.69,2.44,0.75,1.37,1.14
42.00,0.00,268.44,7.00,-107.12,9.56,0.31,3.62,1.72,1.16
42.00,1.00,277.88,-5.38,-65.50,0.94,-0.62,-0.38,1.72,1.16
42.00,2.00,264.62,-28.81,20.06,0.62,2.44,0.94,1.72,1.16
42.00,0.00,268.31,7.12,-107.44,12.62,1.38,4.75,2.16,1.18
42.00,1.00,277.94,-5.38,-65.50,0.88,-0.69,-0.69,2.16,1.18
42.00,2.00,264.62,-28.88,20.06,1.75,1.81,1.06,2.16,1.18
42.00,0.00,268.06,7.25,-107.75,13.44,1.88,4.81,2.60,1.20
42.00,1.00,277.94,-5.38,-65.50,1.44,-0.31,-0.88,2.60,1.20
42.00,2.00,264.62,-28.88,20.00,2.44,0.81,1.62,2.60,1.20
42.00,0.00,267.88,7.31,-108.06,14.81,2.38,4.75,3.08,1.22
42.00,1.00,277.94,-5.38,-65.56,1.88,-0.25,-0.44,3.08,1.22
42.00,2.00,264.56,-28.94,19.88,2.75,-0.06,2.25,3.08,1.22
42.00,0.00,267.62,7.44,-108.44,16.06,2.75,4.50,3.59,1.24
42.00,1.00,277.94,-5.38,-65.62,2.06,0.12,-0.06,3.59,1.24
42.00,2.00,264.56,-28.94,19.75,3.25,-0.81,2.81,3.59,1.24
42.00,0.00,267.44,7.56,-108.81,18.00,1.31,4.81,4.16,1.26
42.00,1.00,277.94,-5.38,-65.69,2.06,1.00,0.38,4.16,1.26
42.00,2.00,264.50,-28.88,19.62,3.81,-1.94,3.25,4.16,1.26
42.00,0.00,267.25,7.69,-109.25,19.50,0.31,5.81,4.84,1.28
42.00,1.00,277.94,-5.38,-65.69,1.56,0.50,0.69,4.84,1.28
42.00,2.00,264.44,-28.88,19.50,2.50,-2.25,3.44,4.84,1.28
42.00,0.00,266.94,7.81,-109.62,20.25,2.19,7.38,5.54,1.30
42.00,1.00,277.94,-5.38,-65.75,1.88,0.25,0.62,5.54,1.30
42.00,2.00,264.38,-28.88,19.44,2.69,-3.31,3.56,5.54,1.30
42.00,0.00,266.56,8.00,-110.06,21.12,4.81,8.19,6.23,1.32
42.00,1.00,277.94,-5.38,-65.81,2.12,0.56,0.62,6.23,1.32
42.00,2.00,264.25,-28.81,19.31,4.06,-4.19,4.00,6.23,1.32
42.00,0.00,266.12,8.19,-110.50,20.56,6.56,7.62,6.87,1.34
42.00,1.00,277.88,-5.38,-65.88,2.31,0.81,0.94,6.87,1.34
