 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.20,0.37,7.50,444.74,20.54,-3.92,4.41,4.80,0.62,0.31,34.80,0.00,0.00
 1.00,1.24,0.48,4.70,250.95,15.50,-4.79,2.46,3.26,0.28,0.41,53.55,73.34,-2453.67
 2.00,1.29,0.70,2.92,178.41,12.99,-4.63,1.72,3.10,0.25,0.44,1.98,121.89,-1100.78
 3.00,1.38,0.76,3.83,114.02,10.40,-3.27,1.09,2.44,0.16,0.58,-53.95,-34.86,-3149.03
 4.00,1.43,0.76,3.67,81.33,8.68,-2.62,0.76,2.44,0.16,0.62,-61.84,-120.50,-545.91
 5.00,1.39,0.52,2.84,96.36,9.49,-2.78,0.91,2.52,0.17,0.81,-16.13,-89.63,224.21
 6.00,1.36,0.88,4.89,109.69,10.13,-2.94,1.04,2.66,0.19,0.56,38.66,-188.44,1120.93
 7.00,1.41,0.28,3.37,145.25,11.83,-2.89,1.42,2.29,0.14,0.66,55.10,-288.68,2021.17
 8.00,1.52,0.85,2.74,123.54,10.88,-3.00,1.20,2.29,0.14,0.97,22.16,-284.54,186.34
 9.00,1.69,0.41,3.01,158.83,12.36,-3.38,1.55,2.46,0.16,1.18,-23.82,-253.40,641.02
 10.00,1.90,1.10,2.34,50.60,6.47,-1.31,0.42,2.95,0.23,1.61,-47.61,-275.07,-401.43
 11.00,2.08,0.93,2.92,10.91,1.04,-0.49,0.01,3.14,0.26,2.09,-37.87,-296.25,-1139.70
 12.00,2.18,0.69,3.24,15.65,-0.22,-0.27,0.00,3.95,0.42,2.71,0.52,-244.73,-54.17
 13.00,2.19,0.38,3.24,21.33,-2.67,-0.16,0.07,3.77,0.38,3.28,33.27,-202.77,-794.19
 14.00,2.17,4.52,2.13,10.40,-1.04,-1.20,0.01,3.05,0.25,3.12,31.57,-210.65,249.22
 15.00,2.17,1.09,4.31,21.91,-1.91,0.16,0.04,4.27,0.49,3.34,2.74,-181.17,289.17
 16.00,2.22,3.64,3.28,16.94,-1.74,-0.33,0.03,3.73,0.37,3.12,-23.45,-112.21,427.14
 17.00,2.32,1.34,4.96,48.66,-5.50,-0.38,0.30,4.29,0.49,5.06,-23.06,-84.27,765.82
 18.00,2.44,0.73,4.34,99.51,-8.57,0.38,0.74,5.10,0.70,3.61,3.77,-49.34,365.35
 19.00,2.51,1.62,4.16,117.51,-9.81,0.00,0.97,4.62,0.57,4.11,28.51,34.17,988.25
 20.00,2.48,3.93,3.19,93.57,-8.47,0.71,0.72,4.68,0.58,4.35,24.14,73.32,-93.09
 21.00,2.38,2.01,3.91,103.14,-9.17,1.58,0.85,4.37,0.51,3.95,-1.65,78.97,121.63
 22.00,2.23,4.17,4.42,23.32,-2.89,0.16,0.08,3.87,0.40,2.66,-27.47,119.95,-358.18
 23.00,2.09,0.83,2.96,11.54,-1.25,-0.38,0.02,3.16,0.26,3.14,-32.54,176.51,-1047.65
