Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
5.00,0.00,220.44,2.38,-103.44,0.00,-0.88,-0.06,0.01,1.00
5.00,1.00,253.12,-1.62,-63.25,-0.12,0.38,0.12,0.01,1.00
5.00,2.00,329.50,-15.00,21.44,-0.69,-0.19,0.06,0.01,1.02
5.00,0.00,220.44,2.38,-103.44,-0.44,-0.38,-0.31,0.01,1.02
5.00,1.00,253.12,-1.62,-63.25,0.00,0.12,0.06,0.01,1.02
5.00,2.00,329.50,-15.00,21.44,-0.25,-0.44,0.12,0.01,1.02
5.00,0.00,220.44,2.38,-103.44,-0.31,-0.50,-0.31,-0.01,1.04
5.00,1.00,253.12,-1.62,-63.25,0.00,-0.50,-0.19,-0.01,1.04
5.00,2.00,329.50,-15.00,21.44,0.50,0.25,-0.19,-0.01,1.04
5.00,0.00,220.44,2.38,-103.44,-0.19,0.12,-0.06,-0.02,1.06
5.00,1.00,253.12,-1.62,-63.25,0.38,-0.19,-0.06,-0.02,1.06
5.00,2.00,329.50,-15.00,21.44,0.81,0.69,-0.31,-0.02,1.06
5.00,0.00,220.44,2.38,-103.44,-0.06,-0.12,0.00,-0.03,1.08
5.00,1.00,253.12,-1.62,-63.25,0.19,-0.06,-0.31,-0.03,1.08
5.00,2.00,329.50,-15.00,21.44,0.25,0.88,-0.25,-0.03,1.08
5.00,0.00,220.44,2.38,-103.44,-0.38,-0.88,-0.06,-0.03,1.10
5.00,1.00,253.12,-1.62,-63.25,-0.25,-0.06,-0.31,-0.03,1.10
5.00,2.00,329.50,-15.00,21.44,-0.19,0.75,-0.38,-0.03,1.10
5.00,0.00,220.50,2.31,-103.44,-0.50,-1.62,-0.25,-0.03,1.12
5.00,1.00,253.12,-1.62,-63.25,-0.44,0.00,-0.25,-0.03,1.12
5.00,2.00,329.50,-15.00,21.44,-0.38,0.56,-0.31,-0.03,1.12
