 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.27,4.29,243.56,21.97,-4.44,5.26,2.09,0.11,0.57,0.00,0.00,0.00
 1.00,1.00,0.37,3.85,282.38,23.42,-6.38,6.03,4.03,0.41,0.20,19.06,0.00,0.00
 2.00,1.00,0.11,3.64,259.04,22.58,-5.81,5.58,2.85,0.20,0.24,40.67,66.94,-3732.56
 3.00,0.93,0.26,3.83,268.93,22.82,-5.65,5.70,4.16,0.44,-0.13,24.76,201.34,874.63
 4.00,0.90,0.26,3.72,221.37,20.78,-6.02,4.68,3.28,0.27,0.15,-11.23,128.59,-1236.87
 5.00,0.90,0.12,3.98,191.32,19.19,-6.38,3.96,3.77,0.36,0.11,-34.77,27.15,817.71
 6.00,0.85,0.23,4.10,206.26,19.92,-6.07,4.28,3.97,0.40,0.02,-30.49,48.49,2812.02
 7.00,0.80,0.37,4.17,227.78,21.02,-5.02,4.79,3.69,0.34,0.04,-1.56,41.10,273.57
 8.00,0.80,0.30,4.53,204.26,19.97,-5.70,4.30,3.13,0.25,0.37,27.05,-70.50,1761.49
 9.00,0.81,0.24,4.93,213.76,20.30,-6.02,4.46,3.90,0.38,0.07,27.51,-138.98,-1041.48
 10.00,0.94,0.42,3.55,129.04,15.74,-7.69,2.63,3.21,0.26,0.48,2.89,-134.52,-874.83
 11.00,1.11,0.32,4.00,101.03,13.88,-4.96,2.03,3.09,0.24,0.11,-26.27,-183.36,-1221.82
 12.00,1.34,0.23,3.15,55.64,10.19,-5.02,1.08,2.74,0.19,0.59,-36.86,-287.67,-3203.43
 13.00,1.52,0.23,2.99,35.02,7.90,-3.81,0.65,2.76,0.19,0.55,-19.50,-285.30,212.28
 14.00,1.63,0.35,3.46,28.67,7.12,-3.33,0.52,2.59,0.17,0.87,6.93,-240.19,-304.04
 15.00,1.72,0.26,3.84,22.27,6.33,-3.17,0.41,2.11,0.11,1.33,21.09,-246.37,573.57
